Date,ha_e_AllUnc_mean,ha_w_AllUnc_ba_mean
1992-09-29,2022.6293483241402,7982.659432697131
1992-09-30,1639.1492432356154,7488.003243876442
1993-06-01,6860.011654692468,13299.510456822845
1993-06-02,6834.426661143874,13546.115990440814
1993-06-03,7077.356782013064,14284.975400024006
1993-06-04,7100.289384271205,13480.443541826216
1993-06-05,7005.348385760501,13282.308920665817
1993-06-06,7107.395333324373,13619.965050047322
1993-06-07,7233.276619359423,13912.763974403162
1993-06-08,7282.553547815694,13239.46531634131
1993-06-09,6909.303828918325,12507.901359402369
1993-06-10,6799.346372058803,12116.905850118726
1993-06-11,6637.471823876962,12117.9798362114
1993-06-12,6547.075163170943,12950.979991623148
1993-06-13,6589.788009553529,13844.745171590615
1993-06-14,6684.339000332728,14227.327012768672
1993-06-15,6845.59636064343,14913.876420915409
1993-06-16,6793.534509876446,16007.324462529381
1993-06-17,6573.898644573272,16605.618004900498
1993-06-18,5474.068655811177,15822.76757275388
1993-06-19,4159.182571657957,15422.21181749287
1993-06-20,2671.7560848993344,15075.118629902332
1993-06-21,1545.197597409577,13905.780874029579
1993-06-22,1389.4165021297217,14088.992893789542
1993-06-23,1692.922285977667,14733.367374099611
1993-06-24,2063.349329462969,15241.547078338655
1993-06-25,2254.887939260822,15488.75644038998
1993-06-26,2417.0449549094237,15886.112264040616
1993-06-27,3121.713860950083,16668.677726756974
1993-06-28,4223.629948625133,17041.65378276969
1993-06-29,4934.469070169368,17346.560467426
1993-06-30,5363.200192730059,17560.57417435586
1993-07-01,5860.631199483851,18443.46635193019
1993-07-02,6343.231491633822,18592.613310750025
1993-07-03,6593.502032055492,18757.449801414667
1993-07-04,6848.74489227016,19074.04695302542
1993-07-05,6732.802175282061,18543.148584525126
1993-07-06,6622.881627017464,17441.207655504728
1993-07-07,6456.3362708581935,17018.195999980966
1993-07-08,6617.786305859436,16162.551897261827
1993-07-09,6886.268385093392,16360.217880843398
1993-07-10,6954.1669885352485,16665.109246808603
1993-07-11,7024.998214639877,17142.112719319404
1993-07-12,7132.573658077948,16997.2826358639
1993-07-13,7097.256041435317,17194.617136180244
1993-07-14,7104.910015044827,17274.019770870105
1993-07-15,6968.435154846449,17431.012173861927
1993-07-16,7073.526469359483,17833.221309655397
1993-07-17,7245.467567991777,18076.389696637845
1993-07-18,7458.066735389426,18069.013264091114
1993-07-19,7738.335981282954,18678.060693550713
1993-07-20,7968.492950240022,19068.311463875114
1993-07-21,7966.168437912572,19209.262409770578
1993-07-22,7984.281298833226,18955.201020004763
1993-07-23,7975.485759199069,18429.61179739374
1993-07-24,7863.408547643148,17412.366691132025
1993-07-25,7774.145910935351,15941.926720798268
1993-07-26,7765.128065697368,15426.088368048408
1993-07-27,7829.498592050701,15413.637772873592
1993-07-28,7958.157127738168,15678.7281090075
1993-07-29,8026.046196476963,16050.950758269844
1993-07-30,8059.291746881886,16358.699918878321
1993-07-31,8135.864716614964,17287.952175868315
1993-08-01,8163.531926148612,17472.703355924798
1993-08-02,8149.777563651484,17650.067625324955
1993-08-03,8195.126585893662,17369.268782609397
1993-08-04,8145.753527228009,17092.41141112567
1993-08-05,8193.548665377164,17076.4476661991
1993-08-06,8274.842697772981,17096.960704314413
1993-08-07,7973.69849047029,15707.816771352434
1993-08-08,7907.429688359565,14808.417039752316
1993-08-09,8035.762953678218,15502.13180256743
1993-08-10,8048.425660424337,15943.688134981441
1993-08-11,8107.286620101892,16395.44250812199
1993-08-12,8172.083918781967,16782.400021454865
1993-08-13,8178.217751409299,17146.09424398889
1993-08-14,8097.8549535363045,17562.11024510842
1993-08-15,8131.742962700301,17433.431917231526
1993-08-16,8015.029362289593,17126.45169389314
1993-08-17,7932.518578779223,15875.614639426822
1993-08-18,7974.099782013783,15881.287958471636
1993-08-19,8079.541730299706,15634.130542806552
1993-08-20,8132.265402553568,15420.96053000475
1993-08-21,8083.197318251579,15041.569283712346
1993-08-22,8006.231379062959,14598.534393921604
1993-08-23,8036.121713285149,13417.22046877112
1993-08-24,7794.943273896057,12195.599090410744
1993-08-25,7664.870599137139,11256.149368687282
1993-08-26,7639.461404980523,11585.050865999281
1993-08-27,7493.0188261045705,11495.590355536102
1993-08-28,7502.63634768236,11855.365119960488
1993-08-29,7629.856685681305,12215.028311088621
1993-08-30,7650.627272163045,12986.090997100988
1993-08-31,7689.463402198302,12975.198732522273
1993-09-01,7396.256520610836,12653.31189432039
1993-09-02,7466.65164066671,13029.863289095652
1993-09-03,7548.2877418023745,13028.742291189139
1993-09-04,7354.6489063657355,12331.851087342182
1993-09-05,7396.619370677044,12787.115133842059
1993-09-06,7495.726473840857,13011.248024131644
1993-09-07,7542.420929707411,13537.216924854982
1993-09-08,7647.023816703219,13847.852550898073
1993-09-09,7722.95274155386,14390.900204226173
1993-09-10,7725.006421778973,14372.113953200023
1993-09-11,7729.44775567465,14360.060236454807
1993-09-12,7868.623693871741,14217.083159617592
1993-09-13,7854.439833013644,13722.620093355234
1993-09-14,7574.366216485423,11211.008232976385
1993-09-15,7112.617314918426,8873.192378532065
1993-09-16,7179.822146426876,9151.865288988987
1993-09-17,7282.110592106586,9535.886182076954
1993-09-18,7228.581988286954,9704.41205841367
1993-09-19,7226.026421282021,10075.04755673246
1993-09-20,7053.141156607537,10550.981126493234
1993-09-21,6962.579349066272,11099.77559106063
1993-09-22,6946.038214397374,11482.530916906615
1993-09-23,6928.595112409876,11772.802815118801
1993-09-24,7005.28091352496,11894.032083459499
1993-09-25,7080.243561905533,12424.732400115356
1993-09-26,7153.153934705985,11726.715591267113
1993-09-27,7116.7436832633675,11475.660584963713
1993-09-28,7067.927238357689,11966.793021172
1993-09-29,6793.228450383933,12117.577145723415
1993-09-30,6636.595092595531,12200.316948953794
1994-06-01,5194.157557869278,10342.309205941836
1994-06-02,5166.383431831486,10620.616585018597
1994-06-03,5085.140646166432,10752.246108944648
1994-06-04,5091.228346046477,11112.132955068177
1994-06-05,5069.703132726865,10821.446460629664
1994-06-06,4886.161930304744,11128.151472314996
1994-06-07,4696.644263845813,11079.707879765123
1994-06-08,4672.156639678622,11290.31305070316
1994-06-09,4619.499307623231,10933.626587165754
1994-06-10,4725.847119994438,11099.573372309356
1994-06-11,4812.002597541193,11079.848856204757
1994-06-12,4930.493151450556,11167.677582647657
1994-06-13,4932.377890693753,11356.325845219273
1994-06-14,4947.310219302314,11673.480826299372
1994-06-15,4919.770977359456,11691.42978462358
1994-06-16,4965.82565266748,12030.823920744471
1994-06-17,5106.59483968186,12023.105228106753
1994-06-18,5255.835244678082,12443.79359339406
1994-06-19,5263.3573627703545,12251.435160971498
1994-06-20,5371.014456479836,12797.62390438387
1994-06-21,5349.752419806086,12650.419149673065
1994-06-22,5334.293628948107,12596.383915399854
1994-06-23,5195.305532286642,12585.675662247928
1994-06-24,4889.667787987458,11949.788901482612
1994-06-25,4637.742271119458,11651.6487945404
1994-06-26,4501.5827547451845,11421.057447527484
1994-06-27,4422.584754545462,11366.637201415955
1994-06-28,4522.002314995294,11098.830108860991
1994-06-29,4635.416943889451,11156.236588875634
1994-06-30,4593.876312993383,11131.144159076237
1994-07-01,4937.04998029539,10916.987122932711
1994-07-02,5068.805161029996,11282.041274534013
1994-07-03,5010.952719897711,11543.26279207407
1994-07-04,5101.9057406714155,11743.625208940677
1994-07-05,5253.0013926518395,11713.644693693475
1994-07-06,5296.445594327444,11284.580597340517
1994-07-07,5351.569250498659,11031.40468748423
1994-07-08,5346.7603822242145,10155.902328340602
1994-07-09,5309.143902108008,10036.127133349533
1994-07-10,5370.426497157008,10019.365153748915
1994-07-11,5297.029716014551,10192.38537368466
1994-07-12,5216.27010174078,10326.495653909687
1994-07-13,5169.393679377738,9844.683783034741
1994-07-14,5039.299558603372,9015.8909811062
1994-07-15,4915.115411436395,8414.34859263232
1994-07-16,4912.627344345404,8176.618424071797
1994-07-17,4963.25480661801,8204.136644375949
1994-07-18,5181.385368847979,8352.976194040173
1994-07-19,5240.797760462172,8569.706012564102
1994-07-20,5447.606820798089,8681.835326808176
1994-07-21,5468.273835774006,8818.809971043102
1994-07-22,5546.599696799106,8502.712790565865
1994-07-23,5444.060409446687,7822.928676504906
1994-07-24,5433.085991942362,7235.883643392721
1994-07-25,5482.086218430598,7601.373566131637
1994-07-26,5436.304096208298,7356.6430470883215
1994-07-27,5278.490712748455,6637.356527135775
1994-07-28,4951.923886464961,5965.5138780575035
1994-07-29,4926.261172433515,6126.365652243792
1994-07-30,4995.66969791539,6509.295959564919
1994-07-31,5081.987606374262,6856.682306886188
1994-08-01,5094.805879427351,7024.080135347491
1994-08-02,5046.969895969751,7302.501753351708
1994-08-03,4868.756247505691,7171.933118880589
