year,month,t
2002,6,21.75032958290642
2002,7,24.640577288730885
2002,8,22.519413937391754
2002,9,19.007264422264132
2002,10,9.170865722392149
2002,11,3.8289380765625856
2002,12,0.0969875922294177
2003,1,-2.9926349750909136
2003,2,-2.8622897628302635
2003,3,3.8827012891800985
2003,4,11.069551953368423
2003,5,15.327626744072939
2003,6,19.039456861088105
2003,7,23.987633298705756
2003,8,24.094392713355443
2003,9,17.02550717245484
2003,10,12.459260285953082
2003,11,3.7837522861327244
2003,12,0.21530644056582035
2004,1,-3.5775233107965194
2004,2,-1.6908308588407868
2004,3,6.625737791436149
2004,4,10.722211982123634
2004,5,16.124995204103485
2004,6,19.202985521086433
2004,7,22.099864603088992
2004,8,20.20706341112131
2004,9,18.66484401617233
2004,10,12.210292234732142
2004,11,5.866175964568604
2004,12,-0.14302902281766186
2005,1,-2.312198347215031
2005,2,1.6441461118796927
2005,3,3.8926576255737926
2005,4,10.942832369914534
2005,5,14.475117829716924
2005,6,21.133277580704142
2005,7,23.823427641817542
2005,8,22.797289969003234
2005,9,19.69416858877087
2005,10,12.091053230713193
2005,11,6.042476673694998
2005,12,-2.5228464064736973
2006,1,2.868404345952637
2006,2,-1.3632095373160742
2006,3,4.330368829037568
2006,4,12.753162331853444
2006,5,16.161806673510746
2006,6,21.25576270096654
2006,7,24.81234059436406
2006,8,23.333357991457426
2006,9,16.285181713338858
2006,10,10.113405966309857
2006,11,5.0097967245196315
2006,12,0.8718924026251589
2007,1,-2.6148088307871906
2007,2,-3.8985388953062485
2007,3,7.733432068116406
2007,4,8.775550243409903
2007,5,17.00533917709699
2007,6,20.91483393905728
2007,7,23.6773965192859
2007,8,24.037566704946506
2007,9,18.987669015811992
2007,10,13.204160640328999
2007,11,5.0072272417431165
2007,12,-1.8950176282254303
2008,1,-3.699365168395682
2008,2,-2.0534322592841807
2008,3,3.528661282813717
2008,4,8.839213082075037
2008,5,14.45747835094351
2008,6,20.387192847722563
2008,7,23.296495389654744
2008,8,22.02904019708134
2008,9,17.62358333447148
2008,10,11.062961867459101
2008,11,4.870100999972554
2008,12,-3.386982610800163
2009,1,-4.0100808119668265
2009,2,0.41136234045684
2009,3,4.023860452727828
2009,4,9.205135752172247
2009,5,15.357504123386192
2009,6,20.209939256719828
2009,7,21.460139440282227
2009,8,21.268148589060715
2009,9,18.35259022450479
2009,10,8.09187577987664
2009,11,6.923347371804119
2009,12,-4.176461084094333
2010,1,-4.363551753286069
2010,2,-4.051721477167346
2010,3,4.951164324237605
2010,4,11.859669499939406
2010,5,15.212607481311402
2010,6,21.53257377316133
2010,7,23.621436717201146
2010,8,23.774335854737945
2010,9,18.29932817332239
2010,10,12.774152225722412
2010,11,4.2834425849103015
2010,12,-3.027110473357019
2011,1,-4.633596833305515
2011,2,-2.697100032599742
2011,3,3.6746900005146332
2011,4,10.09644640255771
2011,5,14.554541908191615
2011,6,21.114186708262604
2011,7,25.289075673273526
2011,8,23.762635272238136
2011,9,17.541856253641217
2011,10,12.012242023312035
2011,11,5.291083775066154
2011,12,0.2002216706659295
2012,1,0.12250388261058792
2012,2,0.6876200747434442
2012,3,10.36244068680792
2012,4,12.018338881851056
2012,5,17.397929816597333
2012,6,21.759825805944644
2012,7,25.898437120769465
2012,8,22.7146036636832
2012,9,18.24478641271005
2012,10,10.211334138950663
2012,11,4.937238350459687
2012,12,0.15875960074363984
2013,1,-1.9054224054492337
2013,2,-1.0222522454441731
2013,3,1.659413169430156
2013,4,7.552169798527685
2013,5,15.476495068742041
2013,6,20.76356972472943
2013,7,22.797993264741617
2013,8,22.65382957576098
2013,9,19.618231488291304
2013,10,10.726781438744545
2013,11,3.203617826835202
2013,12,-3.5636890682977973
2014,1,-4.401040709883441
2014,2,-4.993219020726276
2014,3,1.78428486061221
2014,4,9.650510195466206
2014,5,15.604458365271935
2014,6,20.4351772432678
2014,7,21.780782878666546
2014,8,22.292662544789202
2014,9,17.881007915351965
2014,10,12.49517331952644
2014,11,1.1037135515828338
2014,12,0.2306571844932521
2015,1,-2.2654087765751054
2015,2,-3.681299355224658
2015,3,5.208695884052426
2015,4,11.076172100523445
2015,5,15.267500320938305
2015,6,21.396033822226144
2015,7,23.167855169167794
2015,8,21.95653945893273
