time,At_Q_m3ps,At_bioN_Mgps,Ms_Q_m3ps,Ms_bioN_Mgps
12/4/1987 8:00:00 AM,3992.675369472,0.0032423216109414,9769.31207424,0.0127336887015245
12/5/1987 8:00:00 AM,3879.407983104,0.00315034085602107,9684.361534464,0.0126229609736851
12/6/1987 8:00:00 AM,3681.19005696,0.00298937453491051,9656.044687872,0.012586051731072
12/7/1987 8:00:00 AM,3822.77428992,0.00310435047856091,9599.410994688,0.0125122332458458
12/8/1987 8:00:00 AM,4049.309062656,0.00328831198840156,9514.460454912,0.0124015055180064
12/9/1987 8:00:00 AM,4162.576449024,0.00338029274332188,9514.460454912,0.0124015055180064
12/10/1987 8:00:00 AM,4077.625909248,0.00331130717713164,9740.995227648,0.0126967794589113
12/11/1987 8:00:00 AM,4134.259602432,0.0033572975545918,9882.579460608,0.0128813256719769
12/12/1987 8:00:00 AM,4247.5269888,0.00344927830951212,10222.381619712,0.0133242365833343
12/13/1987 8:00:00 AM,4162.576449024,0.00338029274332188,10194.06477312,0.0132873273407212
12/14/1987 8:00:00 AM,4077.625909248,0.00331130717713164,10024.163693568,0.0130658718850425
12/15/1987 8:00:00 AM,4105.94275584,0.00333430236586172,9769.31207424,0.0127336887015245
12/16/1987 8:00:00 AM,4020.992216064,0.00326531679967148,9599.410994688,0.0125122332458458
12/17/1987 8:00:00 AM,3964.35852288,0.00321932642221132,9372.876221952,0.0122169593049409
12/18/1987 8:00:00 AM,3879.407983104,0.00315034085602107,9202.9751424,0.0119955038492622
12/19/1987 8:00:00 AM,4049.309062656,0.00328831198840156,9231.291988992,0.0120324130918753
12/20/1987 8:00:00 AM,4134.259602432,0.0033572975545918,9486.14360832,0.0123645962753933
12/21/1987 8:00:00 AM,4332.477528576,0.00351826387570237,9656.044687872,0.012586051731072
12/22/1987 8:00:00 AM,4332.477528576,0.00351826387570237,10052.48054016,0.0131027811276556
12/23/1987 8:00:00 AM,4275.843835392,0.0034722734982422,10392.282699264,0.013545692039013
12/24/1987 8:00:00 AM,4360.794375168,0.00354125906443245,10760.40170496,0.0140255121929835
12/25/1987 8:00:00 AM,4785.547074048,0.00388618689538366,11156.837557248,0.0145422415895671
12/26/1987 8:00:00 AM,4983.765000192,0.00404715321649422,11609.90710272,0.0151327894713769
12/27/1987 8:00:00 AM,5181.982926336,0.00420811953760479,12176.24403456,0.0158709743236392
12/28/1987 8:00:00 AM,5946.53778432,0.00482898963331697,13535.452670976,0.0176426179690687
12/29/1987 8:00:00 AM,6597.825255936,0.00535787897410883,16537.038409728,0.0215549976860588
12/30/1987 8:00:00 AM,7730.499119616,0.00627768652331206,18632.485057536,0.0242862816394293
12/31/1987 8:00:00 AM,9118.024602624,0.00740445077108602,21803.97187584,0.0284201168120981
1/1/1988 8:00:00 AM,10448.916392448,0.00915085767790121,23134.863665664,0.0341477409649316
1/2/1988 8:00:00 AM,10873.669091328,0.00952284376236874,24437.438608896,0.0360703799911089
1/3/1988 8:00:00 AM,11156.837557248,0.0097708344853471,25485.1619328,0.0376168505121645
1/4/1988 8:00:00 AM,11326.7386368,0.00991962891913411,26532.885256704,0.0391633210332202
1/5/1988 8:00:00 AM,11496.639716352,0.0100684233529211,27212.489574912,0.0401664370468779
1/6/1988 8:00:00 AM,11893.07556864,0.0104156103650908,27750.50966016,0.0409605705576903
1/7/1988 8:00:00 AM,12006.342955008,0.0105148066542822,28146.945512448,0.0415457215656573
1/8/1988 8:00:00 AM,12119.610341376,0.0106140029434735,28288.529745408,0.0417547040685026
1/9/1988 8:00:00 AM,12119.610341376,0.0106140029434735,28316.846592,0.0417965005690717
1/10/1988 8:00:00 AM,12119.610341376,0.0106140029434735,28146.945512448,0.0415457215656573
1/11/1988 8:00:00 AM,12119.610341376,0.0106140029434735,27835.460199936,0.0410859600593975
1/12/1988 8:00:00 AM,11779.808182272,0.0103164140758995,27127.539035136,0.0400410475451707
1/13/1988 8:00:00 AM,11326.7386368,0.00991962891913411,26221.399944192,0.0387035595269604
1/14/1988 8:00:00 AM,10845.352244736,0.00949804469007091,25088.726080512,0.0370316995041975
1/15/1988 8:00:00 AM,10109.114233344,0.00885326881032719,23729.517444096,0.0350254674768821
1/16/1988 8:00:00 AM,9202.9751424,0.00805969849679646,22398.625654272,0.0330610319501357
1/17/1988 8:00:00 AM,8863.172983296,0.00776210962922244,20727.931705344,0.0305950384165605
1/18/1988 8:00:00 AM,8381.786591232,0.00734052540015924,19481.990455296,0.0287559923915213
1/19/1988 8:00:00 AM,8126.934971904,0.00711733374947872,18264.36605184,0.0269587428670512
1/20/1988 8:00:00 AM,7560.598040064,0.00662135230352202,17726.345966592,0.0261646093562389
1/21/1988 8:00:00 AM,7277.429574144,0.00637336158054366,17329.910114304,0.0255794583482719
1/22/1988 8:00:00 AM,7249.112727552,0.00634856250824583,17103.375341568,0.0252450863437193
1/23/1988 8:00:00 AM,7447.330653696,0.00652215601433068,17075.058494976,0.0252032898431502
1/24/1988 8:00:00 AM,7419.013807104,0.00649735694203284,17216.642727936,0.0254122723459956
1/25/1988 8:00:00 AM,7305.746420736,0.0063981606528415,17726.345966592,0.0261646093562389
1/26/1988 8:00:00 AM,7815.449659392,0.00684454395420254,18490.900824576,0.0272931148716038
1/27/1988 8:00:00 AM,8608.321363968,0.00753891797854192,19538.62414848,0.0288395853926595
1/28/1988 8:00:00 AM,9089.707756032,0.00796050220760512,20982.783324672,0.0309712069216821
1/29/1988 8:00:00 AM,9457.826761728,0.00828289014747698,21973.872955392,0.0324340844415996
1/30/1988 8:00:00 AM,9825.945767424,0.00860527808734884,22766.744659968,0.0336043864575337
1/31/1988 8:00:00 AM,9882.579460608,0.00865487623194451,23361.3984384,0.0344821129694842
2/1/1988 8:00:00 AM,10052.48054016,0.00943958203821274,23814.467983872,0.0378818310328856
2/2/1988 8:00:00 AM,10194.06477312,0.00957253389790587,23899.418523648,0.0380169624158804
2/3/1988 8:00:00 AM,10137.431079936,0.00951935315402862,23276.447898624,0.037025998940585
2/4/1988 8:00:00 AM,9712.678381056,0.00912049757494921,22681.794120192,0.0360800792596211
2/5/1988 8:00:00 AM,9372.876221952,0.00880141311168568,21832.288722432,0.0347287654296728
2/6/1988 8:00:00 AM,8693.271903744,0.00816324418515862,21350.902330368,0.0339630209260354
2/7/1988 8:00:00 AM,8523.370824192,0.00800370195352685,20671.29801216,0.0328819698620767
2/8/1988 8:00:00 AM,8438.420284416,0.00792393083771097,20473.080086016,0.0325666633017554
2/9/1988 8:00:00 AM,8834.856136704,0.00829619604485176,20501.396932608,0.032611707096087
2/10/1988 8:00:00 AM,9089.707756032,0.0085355093922994,21124.367557632,0.0336026705713825
2/11/1988 8:00:00 AM,9344.55937536,0.00877482273974705,21719.021336064,0.0345485902523463
2/12/1988 8:00:00 AM,9429.509915136,0.00885459385556293,22228.72457472,0.0353593785503153
2/13/1988 8:00:00 AM,9627.72784128,0.00904072645913333,22285.358267904,0.0354494661389786
2/14/1988 8:00:00 AM,9656.044687872,0.00906731683107195,22653.4772736,0.0360350354652895
2/15/1988 8:00:00 AM,9882.579460608,0.00928003980658097,22908.328892928,0.036440429614274
2/16/1988 8:00:00 AM,9910.8963072,0.0093066301785196,23333.081591808,0.0371160865292482
2/17/1988 8:00:00 AM,9967.530000384,0.00935981092239685,23219.81420544,0.0369359113519217
2/18/1988 8:00:00 AM,9939.213153792,0.00933322055045823,23134.863665664,0.0368007799689269
2/19/1988 8:00:00 AM,9967.530000384,0.00935981092239685,23191.497358848,0.0368908675575901
2/20/1988 8:00:00 AM,9825.945767424,0.00922685906270372,22625.160427008,0.0359899916709579
2/21/1988 8:00:00 AM,9797.628920832,0.00920026869076509,21690.704489472,0.0345035464580147
2/22/1988 8:00:00 AM,9401.193068544,0.00882800348362431,21039.417017856,0.0334675391883876
2/23/1988 8:00:00 AM,8721.588750336,0.00818983455709725,20501.396932608,0.032611707096087
2/24/1988 8:00:00 AM,8523.370824192,0.00800370195352685,19906.743154176,0.0316657874151232
2/25/1988 8:00:00 AM,8325.152898048,0.00781756934995646,19397.03991552,0.0308549991171541
2/26/1988 8:00:00 AM,8240.202358272,0.00773779823414058,18972.28721664,0.03017934220218
2/27/1988 8:00:00 AM,7985.350738944,0.00749848488669293,18717.435597312,0.0297739480531955
2/28/1988 8:00:00 AM,7843.766505984,0.0073655330269998,18377.633438208,0.0292334225212161
2/29/1988 8:00:00 AM,7645.54857984,0.00717940042342941,18207.732358656,0.0289631597552264
3/1/1988 8:00:00 AM,7758.815966208,0.00794061366471823,18066.148125696,0.0361499174192984
3/2/1988 8:00:00 AM,7758.815966208,0.00794061366471823,17924.563892736,0.0358666108564512
3/3/1988 8:00:00 AM,7702.182273024,0.00788265298103416,17867.930199552,0.0357532882313124
3/4/1988 8:00:00 AM,7673.865426432,0.00785367263919212,17726.345966592,0.0354699816684652
3/5/1988 8:00:00 AM,7249.112727552,0.00741896751156156,17075.058494976,0.0341667714793682
3/6/1988 8:00:00 AM,7135.845341184,0.00730304614419341,16791.890029056,0.0336001583536739
3/7/1988 8:00:00 AM,6994.261108224,0.00715814443498323,16650.305796096,0.0333168517908267
3/8/1988 8:00:00 AM,7022.577954816,0.00718712477682526,16480.404716544,0.0329768839154101
3/9/1988 8:00:00 AM,7277.429574144,0.0074479478534036,16650.305796096,0.0333168517908267
3/10/1988 8:00:00 AM,7447.330653696,0.00762182990445582,17018.424801792,0.0340534488542294
3/11/1988 8:00:00 AM,7334.063267328,0.00750590853708768,17358.226960896,0.0347333846050626
3/12/1988 8:00:00 AM,7560.598040064,0.00773775127182397,17698.02912,0.0354133203558958
3/13/1988 8:00:00 AM,7560.598040064,0.00773775127182397,18405.9502848,0.0368298531701316
3/14/1988 8:00:00 AM,7957.033892352,0.0081434760576125,19000.604063232,0.0380197407340897
3/15/1988 8:00:00 AM,8438.420284416,0.00863614186892713,19708.525228032,0.0394362735483255
3/16/1988 8:00:00 AM,8749.905596928,0.00895492562918954,20246.54531328,0.0405128384871447
3/17/1988 8:00:00 AM,8863.172983296,0.00907084699655769,20614.664318976,0.0412494355505474
3/18/1988 8:00:00 AM,8891.489829888,0.00909982733839973,20614.664318976,0.0412494355505474
3/19/1988 8:00:00 AM,8693.271903744,0.00889696494550547,20388.12954624,0.0407961450499919
3/20/1988 8:00:00 AM,8608.321363968,0.00881002391997936,19765.158921216,0.0395495961734644
3/21/1988 8:00:00 AM,8410.103437824,0.00860716152708509,19057.237756416,0.0381330633592286
3/22/1988 8:00:00 AM,7957.033892352,0.0081434760576125,18575.851364352,0.0371698210455482
3/23/1988 8:00:00 AM,7673.865426432,0.00785367263919212,18009.514432512,0.0360365947941595
3/24/1988 8:00:00 AM,7475.647500288,0.00765081024629786,17471.494347264,0.0349600298553403
3/25/1988 8:00:00 AM,7305.746420736,0.00747692819524564,16933.474262016,0.0338834649165211
3/26/1988 8:00:00 AM,7249.112727552,0.00741896751156156,17131.69218816,0.0342800941045071
3/27/1988 8:00:00 AM,7164.162187776,0.00733202648603545,16253.869943808,0.0325235934148547
3/28/1988 8:00:00 AM,7022.577954816,0.00718712477682526,15432.68139264,0.0308804153503411
3/29/1988 8:00:00 AM,6342.973636608,0.00649159657261637,14951.295000576,0.0299171730366607
3/30/1988 8:00:00 AM,5974.854630912,0.00611485212866988,14384.958068736,0.0287839467852721
3/31/1988 8:00:00 AM,6427.924176384,0.00657853759814248,14469.908608512,0.0289539307229804
4/1/1988 8:00:00 AM,6314.656790016,0.00717196653528229,14554.859148288,0.0298275457387387
4/2/1988 8:00:00 AM,6059.805170688,0.00688251497107808,14441.59176192,0.0295954247602272
4/3/1988 9:00:00 AM,6201.389403648,0.00704332139563598,14781.393921024,0.0302917876957619
4/4/1988 9:00:00 AM,6342.973636608,0.00720412782019387,14951.295000576,0.0306399691635293
4/5/1988 9:00:00 AM,6597.825255936,0.00749357938439809,15517.631932416,0.0318005740560872
4/6/1988 9:00:00 AM,7050.894801408,0.00800815994298337,16423.77102336,0.0336575418841799
4/7/1988 9:00:00 AM,7588.914886656,0.00861922435630339,17782.979659776,0.0364429936263189
4/8/1988 9:00:00 AM,8155.251818496,0.00926245005453498,18802.386137088,0.0385320824329232
4/9/1988 9:00:00 AM,8636.63821056,0.00980919189803184,19680.20838144,0.040331020016388
4/10/1988 9:00:00 AM,8721.588750336,0.00990567575276658,20359.812699648,0.0417237458874575
4/11/1988 9:00:00 AM,8778.22244352,0.00996999832258974,21011.100171264,0.0430584415138991
4/12/1988 9:00:00 AM,9033.074062848,0.010259449886794,21350.902330368,0.0437548044494339
4/13/1988 9:00:00 AM,9202.9751424,0.0104524175962634,21775.655029248,0.0446252581188523
4/14/1988 9:00:00 AM,9486.14360832,0.0107740304453792,22115.457188352,0.0453216210543871
4/15/1988 9:00:00 AM,9627.72784128,0.0109348368699371,22257.041421312,0.0456117722775266
4/16/1988 9:00:00 AM,9712.678381056,0.0110313207246719,22455.259347456,0.0460179839899218
4/17/1988 9:00:00 AM,9656.044687872,0.0109669981548487,22540.209887232,0.0461920747238055
4/18/1988 9:00:00 AM,9599.410994688,0.0109026755850256,22483.576194048,0.0460760142345497
4/19/1988 9:00:00 AM,9542.777301504,0.0108383530152024,22596.843580416,0.0463081352130613
4/20/1988 9:00:00 AM,9627.72784128,0.0109348368699371,22426.942500864,0.0459599537452939
4/21/1988 9:00:00 AM,9599.410994688,0.0109026755850256,22087.14034176,0.0452635908097592
4/22/1988 9:00:00 AM,9401.193068544,0.0106775465906445,21860.605569024,0.044799348852736
4/23/1988 9:00:00 AM,8580.004517376,0.00974486932820868,20104.96108032,0.0412014736858064
4/24/1988 9:00:00 AM,8466.737131008,0.00961622418856236,19736.842074624,0.0404470805056438
4/25/1988 9:00:00 AM,8325.152898048,0.00945541776400446,19170.505142784,0.0392864756130858
4/26/1988 9:00:00 AM,7985.350738944,0.0090694823450655,18745.752443904,0.0384160219436674
4/27/1988 9:00:00 AM,7758.815966208,0.00881219206577286,18151.098665472,0.0371973868064816
4/28/1988 9:00:00 AM,7532.281193472,0.00855490178648023,17556.44488704,0.0359787516692958
4/29/1988 9:00:00 AM,7362.38011392,0.00836193407701075,16763.573182464,0.0343539048197146
4/30/1988 9:00:00 AM,6682.775795712,0.00759006323913283,16310.503636992,0.0334254209056683
5/1/1988 9:00:00 AM,6427.924176384,0.00698750325281215,15517.631932416,0.0278588943430229
5/2/1988 9:00:00 AM,6144.755710464,0.00667968372625655,14583.17599488,0.0261812601946292
5/3/1988 9:00:00 AM,5946.53778432,0.00646421005766763,13733.67059712,0.024656138241544
5/4/1988 9:00:00 AM,5606.735625216,0.00609482662580091,13054.066278912,0.0234360406790758
5/5/1988 9:00:00 AM,5351.884005888,0.00581778905190087,12431.095653888,0.02231761791348
5/6/1988 9:00:00 AM,5068.715539968,0.00550996952534527,11864.758722048,0.0213008699447565
5/7/1988 9:00:00 AM,4898.814460416,0.0053252778094119,11383.372329984,0.0204366341713416
5/8/1988 9:00:00 AM,4728.913380864,0.00514058609347854,10958.619631104,0.019674073194799
5/9/1988 9:00:00 AM,4559.012301312,0.00495589437754518,10505.550085632,0.0188606748198202
