"","outp_tim","spgAtQ","spgAtN","spgMsQ","spgMsN","spgWwi","smrAtQ","smrWwi","smr14wi2W","smr14wi2E"
"3322",2012-06-28,6483.6139746816,22442.3755509421,15097.9133395968,61207.8561460539,-0.850417702666667,3618.61896045832,-0.920392771333333,16.65245122,55.91878471
"3323",2012-06-29,6367.8295352832,22105.1097403386,14814.7448736768,60413.6225794401,-0.847368744833333,3568.46058918317,-0.945325249166667,16.60435731,50.71824479
"3324",2012-06-30,6240.0890939904,21726.8252510357,14522.7667221504,59583.2586050312,-0.898599826,3523.13333582121,-0.953214962666666,16.7215005,45.86437699
"3325",2012-07-01,6110.7754945536,21308.9240004121,14219.1472003584,58335.9658680941,-0.9431626045,3476.86218757285,-0.926637697166667,16.88795618,41.21236841
"3326",2012-07-02,5976.7424206848,20880.4320320983,13909.2350459904,57006.3269939482,-0.897687631333333,3436.44724738312,-0.917748751,18.13539897,38.11558574
"3327",2012-07-03,5839.2483988992,20438.139224256,13615.3691046912,55743.9788193745,-0.821728738333333,3404.22287894957,-0.871981079,17.41618899,34.57667178
"3328",2012-07-04,5704.271430144,20003.2278051248,13313.9520043008,54452.2621486056,-0.7466627915,3379.95564590245,-0.836754668166667,16.19080043,33.07903306
"3329",2012-07-05,5570.8676195328,19573.3619522687,13007.8154294784,53143.8000542123,-0.728364875,3354.09495589657,-0.838581718333333,16.30381399,30.67640611
"3330",2012-07-06,5441.8686517248,19158.4360023382,12707.3422239744,51860.173023166,-0.667668882666667,3330.10175684872,-0.833346843666667,16.42359507,27.08443084
"3331",2012-07-07,5313.1843155456,18742.7844271174,12418.510388736,50625.3083034297,-0.601054385166667,3311.31520378715,-0.830242029166667,16.05605771,24.48397126
"3332",2012-07-08,5195.1974547456,18365.2484103376,12144.4662400512,49452.1190737988,-0.6028192235,3287.37275177621,-0.794436796833333,15.24138839,21.69273586
"3333",2012-07-09,5091.3690172416,18039.635333877,11895.2779900416,48381.6795769898,-0.612525086833333,3250.91608046493,-0.760163762833333,14.47337417,20.00024317
"3334",2012-07-10,4995.0917388288,17740.1500732084,11667.7993224192,47400.0983830068,-0.664800352,3216.32690011169,-0.671783630333333,15.06873533,19.44934334
"3335",2012-07-11,4913.6021469696,17492.9331336544,11458.883920896,46494.6819834622,-0.699850524166667,3177.05884295597,-0.574710833833333,15.06912386,21.0359566
"3336",2012-07-12,4844.0685570048,17286.8612788563,11266.958627328,45659.1740312894,-0.654987533666667,3136.53225928506,-0.559371584333333,16.04974425,21.28413136
"3337",2012-07-13,4774.8495986688,17079.7120948807,11090.7649152,44890.8086305646,-0.5999542665,3091.81397036593,-0.579737857166667,16.59534132,21.60243693
"3338",2012-07-14,4707.8330617344,16881.153748186,10943.2026812928,44239.1186299667,-0.530343326166667,3049.78527440268,-0.612544688833333,16.66992103,22.99190209
"3339",2012-07-15,4644.5921043456,16694.7124971554,10820.4963460608,43688.009254137,-0.447632238333333,3008.79181799226,-0.666097213333333,15.06524661,22.68868447
"3340",2012-07-16,4589.5315693056,16536.125088862,10717.926435072,43218.7114618753,-0.437006839333333,2970.35601224175,-0.653212817333333,14.20623489,21.1552351
"3341",2012-07-17,4554.9220901376,16451.084827842,10643.0441074176,42862.8511668711,-0.454819586,2917.47759978859,-0.625166141333333,13.97037942,21.23133009
"3342",2012-07-18,4530.69545472,16401.898902488,10574.769043968,42534.5072658105,-0.4692610605,2866.07085140563,-0.587478781833333,13.63903784,20.03722748
"3343",2012-07-19,4513.7053467648,16376.4278237095,10514.6744028672,42240.538598942,-0.502156778666667,2812.46168162106,-0.512117792333333,13.48518633,19.67132095
"3344",2012-07-20,4498.2883969536,16355.2959177964,10461.5016576,41975.5849509828,-0.596015341166667,2762.19166686472,-0.393422946833333,13.7937505,20.14846718
"3345",2012-07-21,4485.7031318016,16343.5292998853,10415.5654397952,41741.152011654,-0.659009588833333,2712.23628373719,-0.251135374833333,15.28131368,24.67073515
"3346",2012-07-22,4464.9374443008,16302.4960524176,10373.0901699072,41522.3676538486,-0.709322924833333,2662.28090060965,-0.1877164925,17.88901575,25.23560203
"3347",2012-07-23,4441.025440512,16248.7621265413,10332.8173214208,41313.4323214681,-0.7328303225,2617.96858798575,-0.179219770166667,17.09521831,24.64329342
"3348",2012-07-24,4420.57438464,16206.2421070197,10274.6104700928,41032.3182929141,-0.755142804,2576.52855765058,-0.174560798666667,16.26097991,24.68368103
"3349",2012-07-25,4397.2916441088,16153.8729762165,10208.223196416,40718.0658079301,-0.875465281166667,2531.18100547386,-0.116837196166667,16.07882949,23.44403858
"3350",2012-07-26,4366.4577444864,16074.2631789707,10136.1725534208,40380.8069334104,-0.966999544333333,2488.22871343897,-0.0423391893333333,17.40731564,24.24445088
"3351",2012-07-27,4334.6799499776,15991.2112509877,10060.0316992512,40027.194968706,-0.999763028666667,2454.21804930643,0.022888835,19.95599289,25.14419096
