Date,interp_ecw,interp_wsw
2012-08-17,0.7871121922481291,4.571587115179124
2012-08-18,0.7430972475232768,4.553279137680429
2012-08-19,0.6990823027984244,4.534971160181734
2012-08-20,0.6550673580735721,4.51666318268304
2012-08-21,0.6110524133487197,4.498355205184345
2012-08-22,0.5670374686238674,4.48004722768565
2012-08-23,0.523022523899015,4.461739250186955
2012-08-24,0.4790075791741627,4.443431272688261
2012-08-25,0.43499263444931036,4.425123295189566
2012-08-26,0.390977689724458,4.406815317690871
2012-08-27,0.34696274499960567,4.388507340192176
2012-08-28,0.3029478002747533,4.370199362693482
2012-08-29,0.258932855549901,4.351891385194787
2012-08-30,0.21491791082504863,4.333583407696093
2012-08-31,0.17090296610019629,4.3152754301973975
2012-09-01,0.12688802137534405,4.296967452698703
2012-09-02,0.0828730766504916,4.2786594752000084
2012-09-03,0.03885813192563925,4.260351497701314
2012-09-04,-0.005156812799213095,4.242043520202619
2012-09-05,-0.04917175752406533,4.223735542703924
2012-09-06,-0.09318670224891779,4.2054275652052295
2012-09-07,-0.13720164697377013,4.187119587706535
2012-09-08,-0.18121659169862248,4.1688116102078405
2012-09-09,-0.22523153642347482,4.150503632709145
2012-09-10,-0.26924648114832717,4.132195655210451
2012-09-11,-0.3132614258731795,4.113887677711756
2012-09-12,-0.35727637059803186,4.095579700213062
2012-09-13,-0.4012913153228842,4.077271722714366
2012-09-14,-0.44530626004773655,4.058963745215672
2012-09-15,-0.4893212047725889,4.040655767716977
2012-09-16,-0.5105566429779589,4.052280340539603
2012-09-17,-0.5317920811833289,4.063904913362229
2012-09-18,-0.5530275193886989,4.0755294861848554
2012-09-19,-0.5742629575940688,4.087154059007481
2012-09-20,-0.5954983957994388,4.098778631830107
2012-09-21,-0.6167338340048087,4.110403204652733
2012-09-22,-0.6379692722101787,4.122027777475359
2012-09-23,-0.6592047104155487,4.133652350297985
2012-09-24,-0.6804401486209186,4.145276923120611
2012-09-25,-0.7016755868262886,4.156901495943237
2012-09-26,-0.7229110250316586,4.168526068765863
2012-09-27,-0.7441464632370286,4.180150641588488
2012-09-28,-0.7653819014423986,4.1917752144111144
2012-09-29,-0.7866173396477685,4.2033997872337405
2012-09-30,-0.8078527778531386,4.215024360056367
2012-10-01,-0.8290882160585085,4.226648932878993
2012-10-02,-0.8503236542638785,4.238273505701619
2012-10-03,-0.8715590924692485,4.249898078524245
2012-10-04,-0.8927945306746183,4.26152265134687
2012-10-05,-0.9140299688799884,4.273147224169496
2012-10-06,-0.9352654070853583,4.284771796992122
2012-10-07,-0.9565008452907283,4.296396369814748
2012-10-08,-0.9777362834960983,4.308020942637374
2012-10-09,-0.9989717217014683,4.31964551546
2012-10-10,-1.0202071599068383,4.3312700882826265
2012-10-11,-1.0414425981122082,4.342894661105253
2012-10-12,-1.0626780363175783,4.354519233927878
2012-10-13,-1.0839134745229482,4.366143806750504
2012-10-14,-1.105148912728318,4.37776837957313
2012-10-15,-1.1263843509336882,4.389392952395756
2012-10-16,-1.134300025444145,4.365881515152378
2012-10-17,-1.1422156999546023,4.342370077909
2012-10-18,-1.1501313744650592,4.318858640665622
2012-10-19,-1.1580470489755164,4.295347203422245
2012-10-20,-1.1659627234859733,4.271835766178866
2012-10-21,-1.1738783979964302,4.248324328935489
2012-10-22,-1.1817940725068874,4.224812891692111
2012-10-23,-1.1897097470173443,4.201301454448733
2012-10-24,-1.1976254215278015,4.177790017205355
2012-10-25,-1.2055410960382584,4.154278579961978
2012-10-26,-1.2134567705487156,4.130767142718599
2012-10-27,-1.2213724450591725,4.107255705475222
2012-10-28,-1.2292881195696297,4.083744268231844
2012-10-29,-1.2372037940800866,4.0602328309884665
2012-10-30,-1.2451194685905436,4.036721393745088
2012-10-31,-1.2530351431010007,4.0132099565017105
2012-11-01,-1.2609508176114577,3.9896985192583325
2012-11-02,-1.2688664921219148,3.9661870820149545
2012-11-03,-1.2767821666323718,3.942675644771577
2012-11-04,-1.2846978411428287,3.919164207528199
2012-11-05,-1.2926135156532859,3.895652770284821
2012-11-06,-1.3005291901637428,3.8721413330414434
2012-11-07,-1.3084448646742,3.8486298957980654
2012-11-08,-1.316360539184657,3.8251184585546874
2012-11-09,-1.3242762136951138,3.80160702131131
2012-11-10,-1.332191888205571,3.7780955840679318
2012-11-11,-1.340107562716028,3.7545841468245538
2012-11-12,-1.348023237226485,3.731072709581176
2012-11-13,-1.355938911736942,3.7075612723377986
2012-11-14,-1.3638545862473992,3.68404983509442
2012-11-15,-1.3717702607578561,3.6605383978510426
2012-11-16,-1.352988802603562,3.6824947523312765
2012-11-17,-1.334207344449268,3.704451106811511
2012-11-18,-1.3154258862949737,3.726407461291745
2012-11-19,-1.2966444281406797,3.7483638157719787
2012-11-20,-1.2778629699863855,3.7703201702522127
2012-11-21,-1.2590815118320913,3.792276524732447
2012-11-22,-1.2403000536777973,3.814232879212681
2012-11-23,-1.221518595523503,3.836189233692915
2012-11-24,-1.202737137369209,3.858145588173149
2012-11-25,-1.1839556792149148,3.880101942653383
2012-11-26,-1.1651742210606209,3.902058297133617
2012-11-27,-1.1463927629063266,3.924014651613851
2012-11-28,-1.1276113047520324,3.9459710060940854
2012-11-29,-1.1088298465977382,3.9679273605743193
2012-11-30,-1.0900483884434442,3.989883715054553
2012-12-01,-1.0712669302891502,4.011840069534787
2012-12-02,-1.052485472134856,4.033796424015021
2012-12-03,-1.0337040139805618,4.055752778495255
2012-12-04,-1.0149225558262678,4.077709132975489
2012-12-05,-0.9961410976719736,4.099665487455724
2012-12-06,-0.9773596395176795,4.121621841935958
2012-12-07,-0.9585781813633854,4.1435781964161915
2012-12-08,-0.9397967232090911,4.165534550896425
2012-12-09,-0.921015265054797,4.187490905376659
2012-12-10,-0.9022338069005029,4.209447259856893
2012-12-11,-0.8834523487462087,4.231403614337127
2012-12-12,-0.8646708905919146,4.253359968817362
2012-12-13,-0.8458894324376205,4.275316323297596
2012-12-14,-0.8271079742833264,4.29727267777783
2012-12-15,-0.8083265161290323,4.319229032258064
2012-12-16,-0.8258328409246072,4.323838189078197
2012-12-17,-0.843339165720182,4.32844734589833
2012-12-18,-0.8608454905157569,4.333056502718463
2012-12-19,-0.8783518153113318,4.3376656595385965
2012-12-20,-0.8958581401069066,4.34227481635873
2012-12-21,-0.9133644649024815,4.346883973178863
2012-12-22,-0.9308707896980564,4.351493129998996
2012-12-23,-0.9483771144936313,4.356102286819129
2012-12-24,-0.9658834392892061,4.360711443639262
2012-12-25,-0.983389764084781,4.365320600459396
2012-12-26,-1.0008960888803557,4.369929757279529
2012-12-27,-1.0184024136759307,4.374538914099662
2012-12-28,-1.0359087384715056,4.379148070919795
2012-12-29,-1.0534150632670805,4.383757227739928
2012-12-30,-1.0709213880626551,4.388366384560062
2012-12-31,-1.08842771285823,4.392975541380196
2013-01-01,-1.105934037653805,4.397584698200329
2013-01-02,-1.1234403624493798,4.402193855020462
2013-01-03,-1.1409466872449547,4.406803011840595
2013-01-04,-1.1584530120405296,4.411412168660728
2013-01-05,-1.1759593368361045,4.416021325480862
2013-01-06,-1.1934656616316794,4.420630482300995
2013-01-07,-1.2109719864272541,4.425239639121128
2013-01-08,-1.228478311222829,4.429848795941261
2013-01-09,-1.245984636018404,4.434457952761394
2013-01-10,-1.2634909608139788,4.4390671095815275
2013-01-11,-1.2809972856095537,4.443676266401661
2013-01-12,-1.2985036104051284,4.448285423221794
2013-01-13,-1.3160099352007033,4.452894580041927
2013-01-14,-1.3335162599962782,4.45750373686206
2013-01-15,-1.351022584791853,4.462112893682193
2013-01-16,-1.3519952914722162,4.474752295082763
2013-01-17,-1.352967998152579,4.487391696483333
2013-01-18,-1.3539407048329422,4.500031097883903
2013-01-19,-1.3549134115133052,4.5126704992844715
2013-01-20,-1.3558861181936683,4.525309900685041
2013-01-21,-1.3568588248740312,4.537949302085611
2013-01-22,-1.3578315315543943,4.550588703486181
2013-01-23,-1.3588042382347574,4.5632281048867505
2013-01-24,-1.3597769449151205,4.57586750628732
2013-01-25,-1.3607496515954833,4.58850690768789
2013-01-26,-1.3617223582758464,4.60114630908846
2013-01-27,-1.3626950649562095,4.6137857104890285
2013-01-28,-1.3636677716365726,4.626425111889598
2013-01-29,-1.3646404783169355,4.639064513290168
2013-01-30,-1.3656131849972986,4.651703914690738
2013-01-31,-1.3665858916776616,4.6643433160913075
2013-02-01,-1.3675585983580247,4.676982717491877
2013-02-02,-1.3685313050383876,4.689622118892447
2013-02-03,-1.3695040117187507,4.702261520293017
2013-02-04,-1.3704767183991138,4.7149009216935855
2013-02-05,-1.3714494250794769,4.727540323094155
2013-02-06,-1.3724221317598397,4.740179724494725
2013-02-07,-1.3733948384402028,4.752819125895295
2013-02-08,-1.374367545120566,4.7654585272958645
2013-02-09,-1.375340251800929,4.778097928696434
2013-02-10,-1.3763129584812919,4.790737330097004
2013-02-11,-1.377285665161655,4.803376731497574
2013-02-12,-1.378258371842018,4.816016132898143
2013-02-13,-1.3792310785223811,4.828655534298712
2013-02-14,-1.380203785202744,4.841294935699282
2013-02-15,-1.381176491883107,4.853934337099852
2013-02-16,-1.3715242548246702,4.846499863091607
2013-02-17,-1.3618720177662336,4.839065389083361
2013-02-18,-1.3522197807077967,4.831630915075116
2013-02-19,-1.3425675436493598,4.82419644106687
2013-02-20,-1.3329153065909232,4.816761967058625
2013-02-21,-1.3232630695324863,4.809327493050379
2013-02-22,-1.3136108324740494,4.801893019042134
2013-02-23,-1.3039585954156128,4.794458545033888
2013-02-24,-1.294306358357176,4.787024071025643
2013-02-25,-1.2846541212987392,4.779589597017397
2013-02-26,-1.2750018842403024,4.772155123009152
2013-02-27,-1.2653496471818655,4.764720649000906
2013-02-28,-1.2556974101234288,4.757286174992661
2013-03-01,-1.246045173064992,4.749851700984415
2013-03-02,-1.236392936006555,4.74241722697617
2013-03-03,-1.2267406989481184,4.734982752967925
2013-03-04,-1.2170884618896816,4.727548278959679
2013-03-05,-1.2074362248312447,4.720113804951434
2013-03-06,-1.197783987772808,4.712679330943188
2013-03-07,-1.1881317507143712,4.705244856934943
2013-03-08,-1.1784795136559345,4.697810382926697
2013-03-09,-1.1688272765974976,4.690375908918452
2013-03-10,-1.1591750395390608,4.682941434910206
2013-03-11,-1.149522802480624,4.675506960901961
2013-03-12,-1.1398705654221872,4.668072486893715
2013-03-13,-1.1302183283637504,4.66063801288547
